YOUTUBE_ID,TITLE_ON_SITE,NOTES
CHgNmYo1pQA,PL_BADWATER_PRO_V9
lcjlbx1YnHc,PL_BORNEO
CudK9GsI4b0,PL_SWIFTWATER
Ua0e1MDPMVc,PL_UPWARD
Df_30LXCOzA,PL_VIGIL_RC4
LrNggEqCb2I,KOTH_ASHVILLE_RC1
02kMHxMUgZw,KOTH_CASCADE_RC1A
8KQNourqfqk,KOTH_LAKESIDE_FINAL
zqfn8kWdl48,KOTH_PRODUCT_RC8
pjqjBDonYDQ,CP_GULLYWASH
5fkyd8K6RVM,CP_STEEL
f3SgT4GZG4c,CP_PROCESS
EyWym2XfAsg,Engineering Tricks: Eureka Effect Rollout
XeJYOAtpiUQ,Engineering Tricks: Wrangler Jumping
4MOTkUR2RTQ,Engineering Tricks: CP_STEEL
fS59xY6SPhA,Engineering Tricks: PL_UPWARD
ZGIFVbaaRSE,Engineer POV: Wax on KOTH_PRODUCT_RC8
eOCfgaFpkA0,Engineer POV: Exa_ on CP_GULLYWASH
HmeKhjkTOn8,Vinesauce - Labor Day
OrJNvyjBdgQ,Vinesauce - Cousin Story
EqPnSgq9IZo,Aya Suffers
4hHsunvZAMw,Lily
qUEPCSzOHmo,Patchy
m1nRuWqW09Q,Sakuya
FG7flaqNFIY,Cirno
xcvouNwZbI0,Flandre
1KkcwBE7vx0,Nitori
OOefbCXJ0Sc,Mokou

